time,attitudeRoll,attitudePitch,attitudeYaw,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,direction
0.0,0.10185715480231293,0.5409657937994821,-0.0282653136384985,-0.002243829891085624,-0.03834626451134682,0.02162788808345794,0.08716224879026413,-0.5149641036987305,-0.8527688384056091,-0.00600074976682663,-0.02240473031997681,0.016404151916503906, Away
0.02004600001964717,0.10089230650944536,0.5410150936477809,-0.02763167152149937,-0.003427071496844291,-0.02856553718447684,0.029452789574861537,0.08633685857057571,-0.5150063633918762,-0.8528273105621338,0.009549364447593684,-0.016075789928436286,0.02633500099182129, Away
0.04009099997347222,0.10003637967969914,0.5409300013787711,-0.026979603993341032,-0.0034767407923936844,-0.01594449393451213,0.02381560206413269,0.0856112465262413,-0.5149334669113159,-0.8529444932937622,0.0038968101143836975,-0.01772040128707885,0.026711583137512214, Away
0.06013699999311941,0.09994714244594254,0.5411277550137533,-0.02651110374670363,0.015425978228449816,0.028365274891257286,0.020447194576263438,0.08552496880292892,-0.5151029229164124,-0.8528507947921753,-0.002654492855072021,0.002041399478912353,0.023032069206237786, Away
0.08018200000515208,0.10039272291274676,0.5414563340085665,-0.026034011276559462,0.009691659361124035,0.032995216548442834,0.02014150470495224,0.08588800579309464,-0.5153845548629761,-0.852644145488739,0.006442919373512268,0.002139866352081299,0.015211284160614019, Away
0.1002255833009258,0.10086581288287197,0.5412876460751673,-0.025723668676930826,-0.025437699630856504,0.03293474763631822,0.010177933610975742,0.08630012720823288,-0.5152400135993958,-0.8526899218559265,0.00018668919801712042,-0.0012700557708740234,0.0010511279106140137, Away
0.12027158332057294,0.1012839285584312,0.5405253561170452,-0.025337761097946287,-0.053119927644729635,0.022469323128461845,0.01366268005222082,0.0866963341832161,-0.5145865082740784,-0.8530442714691162,-0.006145186722278597,0.0019522309303283696,-0.002409219741821289, Away
0.14031658333260566,0.10152176699124876,0.5394780697533673,-0.024945201183836658,-0.04847604036331177,0.021315125748515133,0.0018860679119825372,0.0869537889957428,-0.5136882662773132,-0.8535592555999756,-0.002282768487930298,0.00752365589141846,-0.002718210220336914, Away
0.16036258335225284,0.107151739751287,0.545539199373164,-0.02772966523326582,0.004683453589677811,0.0019615357741713524,-0.006338307168334722,0.09142323583364488,-0.5188791155815125,-0.8499448895454407,-0.0018846616148948665,0.023624539375305176,0.00010663270950317388, Away
0.18040758330607787,0.1054491408942864,0.545627275831545,-0.027013749641783685,0.032275527715683,-0.009238483384251598,0.0009209746494889264,0.08997117727994919,-0.5189543962478638,-0.8500538468360901,-0.0038200542330741882,0.01248466968536377,-0.003614366054534911, Away
0.20045358332572505,0.10086745956487496,0.5433363476085855,-0.02487297049689604,0.026488346979022016,-0.023967457935214043,0.0062947412952780715,0.08619505912065506,-0.5169947147369385,-0.8516377806663513,0.0012378022074699402,0.0010187625885009766,-0.00010782480239868164, Away
0.22049858333775774,0.09914300863646357,0.5411067618889065,-0.024184706590145974,-0.014116602018475527,-0.035160839557647705,0.015491318888962276,0.08484020829200745,-0.5150849819183351,-0.8529300093650818,0.0014787614345550533,-0.0048583149909973145,0.005533218383789061, Away
0.2405435833497904,0.09910410245654194,0.5369495654781299,-0.02418202941205487,-0.07093420624732971,-0.04718483984470368,0.0229165181517601,0.08501815795898438,-0.5115172266960144,-0.8550567626953125,0.001636505126953125,-0.013385176658630371,0.015594482421875, Away
0.26058958331122994,0.09833016494217638,0.5349463392170843,-0.023818939006132668,0.002483414486050605,-0.06200835481286049,0.030721213668584837,0.08445679396390915,-0.5097948908805847,-0.8561403155326843,0.0011144950985908508,0.006102204322814943,0.0270235538482666, Away
0.28063458332326263,0.09717846753663233,0.5369067620846515,-0.02338655023126534,0.08253204077482224,-0.07930644601583484,0.04019948095083237,0.08337359875440598,-0.511480450630188,-0.8552407026290894,0.003754086792469025,0.022802412509918213,0.04043662548065187, Away
0.3006805833429098,0.0958525090771732,0.5396655203136366,-0.023170158866690285,0.08310621976852417,-0.0856277272105217,0.02387883141636849,0.0821041539311409,-0.5138490796089172,-0.8539426922798157,-0.002056546509265899,0.02218037843704224,0.0514066815376282, Away
0.3207255833549425,0.09479951163112657,0.5429140945748453,-0.023262909731160773,0.1234898641705513,-0.07336070388555528,0.016972951591014862,0.08104646950960159,-0.5166332721710205,-0.852362334728241,-0.009147055447101591,0.043885469436645515,0.07552218437194821, Away
0.340771583316382,0.09396197824645676,0.5460583908238149,-0.023794904073191632,0.15978409349918365,-0.061428699642419836,-0.017293829470872886,0.08017974346876144,-0.5193228721618652,-0.8508084416389465,-0.011042185127735134,0.0709891319274902,0.09688693284988399, Away
0.3608165833284147,0.09420745801363256,0.5480784658619287,-0.02514285021913467,0.065721370279789,-0.0179261714220047,-0.05144175514578817,0.08028975129127502,-0.5210481286048889,-0.849742591381073,-0.009122759103775021,0.07739877700805664,0.12394303083419801, Away
0.3808625833480619,0.09517894873635252,0.5475177051566802,-0.026725783870446447,-0.09959381818771364,0.03241617232561112,-0.07986053824424744,0.08114299178123474,-0.520569384098053,-0.8499549031257629,-0.0018430650234222414,0.07075554132461545,0.14475476741790771, Away
0.4009075833018869,0.09690313918300704,0.5446115286316691,-0.02831687009900914,-0.1628757119178772,0.04515888541936873,-0.07523793727159503,0.08275437355041501,-0.5180858373641968,-0.8513159155845642,0.015603773295879362,0.07713735103607178,0.1640600562095642, Away
